ID;set;A_cost;A_payback;A_selfconsumption;A_backup;B_cost;B_payback;B_selfconsumption;B_backup;optout;Choice
36;8;5000;10;60;Full house;3000;10;30;Full house;No battery;2
37;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
37;2;3000;5;60;One socket;1000;15;90;Full house;No battery;0
37;3;7000;15;60;One socket;7000;10;30;Full house;No battery;1
37;4;1000;5;30;One socket;3000;10;90;One socket;No battery;0
37;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
37;6;7000;5;60;Full house;3000;15;60;Full house;No battery;1
37;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
37;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
38;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
38;2;3000;5;60;One socket;1000;15;90;Full house;No battery;2
38;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
38;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
38;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
38;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
38;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
38;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
39;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
39;2;3000;5;60;One socket;1000;15;90;Full house;No battery;0
39;3;7000;15;60;One socket;7000;10;30;Full house;No battery;1
39;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
39;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
39;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
39;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
39;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
40;1;1000;10;60;Full house;5000;5;90;Full house;No battery;0
40;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
40;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
40;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
40;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
40;6;7000;5;60;Full house;3000;15;60;Full house;No battery;1
40;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
40;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
41;1;1000;10;60;Full house;5000;5;90;Full house;No battery;0
41;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
41;3;7000;15;60;One socket;7000;10;30;Full house;No battery;1
41;4;1000;5;30;One socket;3000;10;90;One socket;No battery;0
41;5;5000;10;60;One socket;7000;10;90;One socket;No battery;0
41;6;7000;5;60;Full house;3000;15;60;Full house;No battery;2
41;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
41;8;5000;10;60;Full house;3000;10;30;Full house;No battery;2
42;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
42;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
42;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
42;4;1000;5;30;One socket;3000;10;90;One socket;No battery;2
42;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
42;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
42;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
42;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
43;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
43;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
43;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
43;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
